names,G1CA,G1CB,G1CC,G1IA,G1IB,G1IC,G1P1A,G1P1B,G1P1C,G1P2A,G1P2B,G1P2C,G1SA,G1SC,G1STA,G1STC,G2CA,G2CB,G2CC,G2IA,G2IB,G2IC,G2P1A,G2P1B,G2P1C,G2P2A,G2P2B,G2P2C,G2SA,G2SC,G2STA,G2STB,G2STC
Oral,2.05E-06,0.000168456,5.39E-06,1.58E-06,0.002528975,0.000303244,4.94E-08,1.67E-06,1.44E-06,0.00545346,1.21E-52,8.73E-51,0.006502653,0.000141996,5.87E-06,1.49E-05,0.019150098,0.056934437,0.000194837,2.02E-07,0.00134091,3.28E-06,0.103736534,2.11E-07,8.67E-11,2.42E-05,0.000565332,3.33E-11,0.000354957,1.19E-06,0.000174041,1.42E-08,3.05E-25
Oral,3.81E-05,0.001212798,0.000862563,0.001563604,0.007992173,7.38E-06,6.38E-07,1.16E-15,0.045028529,0.00019016,4.10E-42,0.012587046,4.51E-12,0.01282488,0.000480131,1.48E-07,6.55E-07,0.000366463,3.06E-05,0.000290729,2.53E-10,5.46E-11,1.42E-05,7.70E-06,7.09E-11,5.30E-08,2.61E-18,1.12E-07,4.27E-08,1.16E-15,0.009723716,0.000299594,2.84E-15
Oral,0.000314093,0.048904001,0.00012886,0.000809982,0.005544596,2.87E-07,1.22E-05,9.30E-29,1.09E-09,0.003372632,4.72E-14,4.27E-33,1.01E-14,3.59E-09,0.001150289,7.91E-08,2.82E-08,0.002513478,0.013701321,8.49E-07,0.004352255,0.003989896,1.53E-06,0.001711424,6.12E-06,5.03E-24,1.24E-05,0.017379234,3.74E-18,1.84E-06,8.38E-08,5.49E-06,1.32E-15
Oral,0.00016209,0.009933325,0.001127645,8.04E-06,0.00078638,0.000124232,7.90E-08,0.126942362,0.000696396,0.000164968,1.16E-22,1.58E-22,1.47E-14,2.40E-05,0.000304671,9.83E-10,1.85E-05,0.000287954,4.54E-08,1.45E-08,0.006899168,0.030001637,0.01800848,0.0171486,0.000628538,2.80E-09,9.73E-07,7.49E-06,1.96E-11,6.73E-05,1.93E-08,1.45E-07,0.013131065
Oral,0.012195208,0.015789421,0.002742713,0.000116915,0.001361218,5.97E-05,5.68E-05,7.32E-16,0.000110966,0.001757339,0.026027705,9.40E-08,6.20E-29,0.104356273,0.011290632,1.46E-07,0.000307595,0.001541955,3.72E-05,2.49E-12,1.90E-09,1.39E-06,3.21E-05,2.24E-05,0.029275826,1.85E-10,3.02E-07,0.048840577,0.042705173,6.34E-05,0.001145016,4.69E-17,2.91E-41
Oral,0.00542717,0.0008102,0.00017396,0.000314042,0.000801923,2.75E-05,0.006136415,0.00012025,0.010440205,0.125886881,1.59E-43,0.00914031,3.23E-13,0.001785217,0.000586786,5.09E-06,1.17E-05,0.000119715,1.97E-05,3.01E-07,3.04E-13,1.90E-06,0.003160053,0.001810207,0.00480204,5.15E-14,1.73E-07,9.18E-05,0.000866517,0.111538385,0.000186714,1.37E-15,1.25E-39
Oral,0.010105467,0.031387106,8.46E-06,0.001561057,0.004744382,1.33E-05,0.398261741,0.176315686,0.008218413,0.027803731,8.42E-13,3.93E-25,2.93E-17,1.96E-05,0.006266265,0.038153828,6.89E-07,8.32E-06,2.38E-11,0.000597613,1.07E-05,2.12E-14,0.001756691,0.014156268,2.53E-16,5.08E-16,2.19E-08,5.43E-10,3.49E-09,0.002148572,0.015905115,3.56E-11,2.05E-36
Oral,0.000255769,0.029608163,0.000690139,0.001246587,0.00045097,0.000263709,9.12E-05,2.83E-13,0.000295593,0.000765901,0.003070073,6.76E-19,8.58E-30,0.000178739,1.46E-06,0.044898904,0.000270507,4.53E-09,1.70E-13,0.868454537,2.79E-08,6.05E-16,1.69E-06,0.002705604,3.50E-19,0.177201588,1.30E-12,3.46E-05,5.10E-05,2.05E-06,0.013069417,0.032903077,7.87E-44
Oral,5.33E-05,0.00057154,0.000920463,7.88E-05,0.002027554,2.13E-09,0.0001273,3.87E-18,0.000431201,0.113599048,6.95E-31,3.19E-19,4.53E-21,5.17E-06,0.001904883,1.43E-05,2.19E-07,0.004010339,0.005224182,3.93E-05,6.42E-09,7.00E-07,0.026553388,7.65E-08,0.001436467,0.064762224,0.137469546,0.001950142,1.54E-09,3.73E-11,6.22E-12,2.19E-08,5.46E-27
Oral,0.026917783,0.005392004,0.000352611,0.000202647,0.004021082,1.75E-09,0.036900314,6.12E-28,0.000156687,0.150417814,1.90E-70,1.42E-36,1.97E-19,2.70E-10,0.0320987,0.023425107,2.01E-09,0.018643125,0.001202219,6.45E-08,1.51E-12,0.000216209,1.64E-05,7.41E-08,0.03264319,3.66E-20,3.37E-05,0.012072855,1.83E-12,4.16E-12,3.03E-15,3.46E-07,5.23E-10
