Genus	G1CA	G1CB	G1CC	G1IA	G1IB	G1IC	G1P1A	G1P1B	G1P1C	G1P2A	G1P2B	G1P2C	G1SA	G1SC	G1STA	G1STC	G2CA	G2CB	G2CC	G2IA	G2IB	G2IC	G2P1A	G2P1B	G2P1C	G2P2A	G2P2B	G2P2C	G2SA	G2SC	G2STA	G2STB	G2STC	All
Anaerosporobacter	0	0	0.0037	0	0	0	0	0	0	0	0	3.3	0	0	0	0	0	0	0	0	0	0	0	0.0037	0	0	0	0	0	0	0	0	0	0.1
Romboutsia	0	0.00369	0	0	0	0	0.0223	0.163	0.0482	0	0	0	0.0111	0.0037	0.00369	0	0	0.0037	0.0037	0	0.0037	0	0.0297	0	0.00742	0.0297	0	0.00372	0	0	0	0	0	0.1
Pseudorhodoferax	0	0	0	0	0	0	0	0	0.0371	0	0	0	0	0	0.00369	0	0	0	0	0	0	0	0.00371	0	0	0.00742	0	0	0	0	0	0	0	0.1
Reyranella	0	0.00738	0	0	0	0	0.00371	0	0	0	0.0186	0	0.0371	0	0.0111	0	0	0	0.0037	0	0	0	0.0111	0	0	0	0	0	0	0	0	0	0	0.1
Anaerosalibacter	0	0.0111	0	0	0	0	0.00371	0.00741	0.0111	0	0	0	0	0	0	0	0	0	0	0	0	0.00371	0	0	0	0	0	0	0	0	0	0	0	0.1
Anaerovorax	0	0.00369	0.0407	0	0	0.0037	0	0	0	0	0	0.0924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Ruminococcus2	0.00738	0	0.0148	0	0	0.0074	0	0	0	0.0037	0.00371	0.0222	0	0.0111	0.00738	0.00372	0.0037	0	0	0	0.0037	0	0.00371	0.0111	0	0	0	0	0	0	0.00371	0.00739	0	0.1
Ancylobacter	0	0	0	0	0	0.0037	0	0	0.0111	0	0.00371	0	0.0111	0	0.00369	0	0	0	0	0	0.0296	0	0.167	0.0185	0	0.126	0	0	0	0	0	0	0	0.1
Rickettsia	0	0	0	0	0.0037	0	0	0.0222	0.0111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00371	0.00371	0	0	0	0	0	0	0	0.1
Ruminococcus	0.00369	0	0	0	0	0	0	0.0148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00371	0.0037	0	0	0	0	0	0	0	0	0	0.1
Salinicoccus	0	0.00369	0	0.0148	0.0148	0	0	0.00371	0	0.00739	0.0111	0	0.00371	0	0	0	0	0	0	0	0	0.0408	0	0	0	0	0	0	0	0	0	0	0	0.1
Taibaiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00372	0	0	0	0	0	0	0.0742	0	0	0	0	0	0	0	0	0	0	0.1
