ID	FR1	FR2	FR3	FR4	FR5	FR6	GR1	GR2	GR3	GR4	GR5	GR6	HR1	HR2	HR3	HR4	HR5	HR6	SR1	SR2	SR3	SR4	SR5	SR6
940	8	10	5	0	5	3	10	19	16	0	0	0	3	4	0	2	0	0	9	18	16	1	2	3
941	0	0	0	4	0	8	0	0	0	0	0	0	0	0	14	17	38	43	0	0	0	0	0	1
942	27	20	9	1	15	0	10	3	0	4	1	4	1	1	12	17	18	13	6	0	2	5	3	3
943	9	8	2	0	0	6	18	7	13	4	76	0	0	1	0	6	2	4	0	0	0	1	0	2
944	0	0	0	0	0	0	0	0	11	0	97	1	1	0	0	0	0	0	0	0	0	0	0	0
945	3	0	2	1	7	0	2	4	0	7	0	18	0	2	17	12	8	5	22	5	2	0	2	2
946	5	11	11	8	4	5	9	8	3	5	0	4	0	0	15	1	4	5	0	0	1	2	11	13
947	12	9	5	4	13	3	0	0	0	0	0	0	0	0	0	0	0	0	27	2	41	1	0	0
948	0	6	3	1	8	5	7	14	6	12	14	8	0	0	0	2	0	2	11	7	1	2	1	3
949	1	6	6	0	0	0	0	3	0	0	0	7	9	8	0	3	2	0	0	0	0	4	87	0
95	52	61	51	13	41	16	51	36	90	15	124	15	16	10	2	9	7	21	227	232	220	116	53	166
950	2	4	2	2	7	8	5	2	9	2	7	7	0	1	17	0	2	4	7	31	0	4	0	3
951	3	1	7	1	27	0	22	23	3	29	0	7	2	0	0	1	0	2	1	0	0	0	1	2
952	10	0	4	17	4	8	5	8	1	0	0	0	6	2	0	3	9	15	0	3	0	6	7	5
953	0	2	2	0	4	4	3	3	0	8	12	14	1	1	1	3	6	12	0	26	3	7	15	4
955	0	0	0	3	2	5	1	1	0	0	17	6	1	4	31	34	19	31	7	10	0	1	6	1
956	0	0	0	0	0	0	0	0	0	0	0	0	73	81	1	0	0	0	1	7	0	0	0	4
