ID	G1CA	G1CB	G1CC	G1IA	G1IB	G1IC	G1P1A	G1P1B	G1P1C	G1P2A	G1P2B	G1P2C	G1SA	G1SC	G1STA	G1STC	G2CA	G2CB	G2CC	G2IA	G2IB	G2IC	G2P1A	G2P1B	G2P1C	G2P2A	G2P2B	G2P2C	G2SA	G2SC	G2STA	G2STB	G2STC
1165	0	0	0	0	0	0	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1166	2	1	0	0	0	0	0	2	7	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
1167	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1168	1	1	0	0	1	3	0	1	0	0	0	0	0	0	0	15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
1169	0	0	0	0	0	0	0	0	4	0	0	0	1	0	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117	1	0	3	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1192	0	0
1170	0	0	0	0	0	0	0	0	16	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1171	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	5	0	0	0	0	0	0	0
1172	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1174	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0
1175	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1176	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1177	0	1	11	0	0	1	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1178	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1179	0	0	1	0	0	0	0	0	0	0	0	2	0	14	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
118	0	0	15	0	1	11	0	0	0	0	2	25	0	95	0	184	1	3	0	0	0	6	0	1	0	0	0	0	1	0	17	4	670
1180	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	12	4	0
1182	3	8	2	1	1	1	1	4	0	0	0	0	4	1	2	2	0	0	0	35	325	0	3	9	0	6	0	14	5	12	0	0	0
1183	0	0	1	0	0	0	0	0	0	3	0	2	0	4	2	0	0	0	2	0	0	3	0	0	0	0	0	0	84	39	0	0	0
1184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0
1186	0	1	0	3	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20	0	1	0	0	0
1189	3	3	0	1	1	0	4	1	0	16	8	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0	3	2	1	3	0	0	0
119	0	0	0	0	0	0	0	0	27	0	0	0	0	0	1	0	0	466	381	0	6	47	0	0	90	0	30	0	104	47	2	17	0
1190	7	1	0	0	0	1	0	0	0	2	6	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1191	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0	0	0	0	0	0	0	0	0
1192	0	3	0	0	1	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0
1193	0	1	0	0	0	0	0	2	1	0	0	0	1	0	2	0	1	0	3	0	0	1	0	0	0	3	0	0	1	0	1	0	0
1194	1	4	0	0	0	0	0	0	0	0	10	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1195	0	20	4	0	0	7	0	0	0	0	14	10	0	5	0	6	1	0	3	0	0	0	0	0	0	0	0	0	0	0	8	3	4
1196	0	6	1	0	0	0	3	5	4	0	0	1	0	1	1	0	0	0	0	0	0	4	0	0	1	1	0	1	0	0	0	0	0
1198	0	2	0	0	8	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1199	0	4	1	0	0	0	0	0	10	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	7	0	0	0	0	0
12	2	1	3	59	2	45	14	11	9	231	2	6	2093	646	52	8	6670	838	450	1	900	24	874	3	4	308	3369	14	1960	15	983	433	3
120	1	0	237	0	0	0	0	0	0	0	0	905	0	198	0	0	0	23	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0
1200	0	0	0	1	1	0	0	0	0	1	4	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	7
1201	0	1	0	0	19	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1202	0	0	0	0	0	19	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1203	1	0	6	0	0	4	0	2	0	1	0	57	1	1	1	8	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0
1204	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	3	0	0	0	0
1205	0	0	0	0	0	11	0	1	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1206	7	1	0	0	5	0	83	0	0	28	0	0	0	0	25	0	0	0	0	0	4	0	0	2	3	0	0	0	0	0	0	0	0
1207	1	1	0	0	0	0	0	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1208	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1209	0	0	0	0	0	0	0	0	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
121	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	31	13	0	847	0	0	0	1	0	1	0
1210	0	1	0	0	1	5	0	0	17	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0
1211	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	3	0	0	0	0	0	0	0
1212	1	1	1	0	0	2	0	1	1	0	1	0	0	0	0	2	0	0	0	0	19	0	4	8	0	0	1	0	0	1	0	1	4
1213	1	0	0	0	1	0	0	0	6	0	4	0	0	1	7	3	0	0	1	0	3	0	3	1	0	2	0	0	0	0	0	0	0
1214	1	1	2	0	4	7	0	0	9	0	1	0	12	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
1215	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1216	4	0	0	0	1	15	0	0	2	0	0	7	0	0	38	0	4	20	4	0	160	0	3	62	1	0	24	0	2	0	1	1	0
1217	0	0	0	0	0	0	0	0	0	0	0	0	4	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
