ID	SA01	SA03	SA04	SA05	SA06	SA07	SA09	SA11	SA12	SA13	SA14	SA15	SA16	SA17	SA18	SA19	SB01	SB02	SB03	SB04	SB05	SB06	SB07	SB08	SB09	SB10	SB11	SB12	SB13	SB15	SB16	SB17	SB18	SB19	SC01	SC02	SC03	SC04	SC05	SC06	SC07	SC08	SC09	SC10	SC11	SC12	SC13	SC14	SC15	SC17	SC18	SC19	SD01	SD02	SD03	SD04	SD05	SD06	SD07	SD08	SD09	SD10	SD11	SD12	SD13	SD14	SD15	SD17	SD18	SD19
744	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	0	2	0	12	7	1	1	4	0	0	0	0	0	0	0	0	0	1
745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
746	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	2	0	2	1	0	2	4	2	0	0	1	0	1	0	1	0	1	1	0	1	2	1	0	1	2	0	2	4	2	0	0	1	1	1	1	1	1	2	0	1
747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	2	1	0	0	0	0	1	1	8	7	0	37	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	2	3	0	1	1	9	1	3	4	4	2	0	0	1	0	2
749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
75	48	160	43	14	11	22	13	0	4	22	55	229	213	276	247	71	261	20	12	163	54	7	3	101	9	98	4	2	13	17	24	13	5	14	4	10	2	0	2	1	57	0	1	0	0	0	1	0	6	5	2	45	20	2	4	3	5	2	1	8	2	5	3	2	6	1	38	5	2	3
750	1	0	0	2	12	27	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0
751	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	2	2	1	0	0	3	2	1	1	0	3	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	1	1	1	1	2	0	2	1	1	3	0	1	0	2	1	0	0	1	1	1
752	0	0	0	1	0	0	1	0	4	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	0	2	0	0	0	0	3	0	2	0	3	5	1	0	0	0	2	0	0	0	0	1	0	5	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1
753	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	0	2	0	3	1	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	2	2	0	0	1	4	0	0	1	1	2	0	0	6	0	1
754	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	5	4	0	1	2	5	8	5	4	4	4	4	3	0	1	3	0	2	0	0	1	0	0	0	0	2	4	6	1	5	1	5	0	0	0	1	6	4	1	1	2	0	3	3	0	1	0	5	1	0	0	1	2	1
